団体コード,都道府県名,市区町村名,開設局数
10006,北海道,,653
11011,北海道,札幌市中央区,21
11029,北海道,札幌市北区,17
11037,北海道,札幌市東区,15
11045,北海道,札幌市白石区,19
11053,北海道,札幌市豊平区,9
11061,北海道,札幌市南区,15
11070,北海道,札幌市西区,5
11088,北海道,札幌市厚別区,18
11096,北海道,札幌市手稲区,6
11100,北海道,札幌市清田区,3
12025,北海道,函館市,48
12033,北海道,小樽市,34
12041,北海道,旭川市,57
12050,北海道,室蘭市,32
12068,北海道,釧路市,32
12076,北海道,帯広市,31
12084,北海道,北見市,20
12114,北海道,網走市,5
12122,北海道,留萌市,6
12131,北海道,苫小牧市,32
12149,北海道,稚内市,8
12173,北海道,江別市,28
12181,北海道,赤平市,5
12190,北海道,紋別市,4
12203,北海道,士別市,3
12211,北海道,名寄市,4
12238,北海道,根室市,5
12246,北海道,千歳市,28
12297,北海道,富良野市,4
12301,北海道,登別市,20
12319,北海道,恵庭市,20
12335,北海道,伊達市,4
12343,北海道,北広島市,22
12351,北海道,石狩市,2
12360,北海道,北斗市,11
13374,北海道,亀田郡七飯町,6
14559,北海道,上川郡比布町,1
14583,北海道,上川郡東川町,1
14818,北海道,増毛郡増毛町,1
14826,北海道,留萌郡小平町,1
15784,北海道,白老郡白老町,1
15849,北海道,虻田郡洞爺湖町,2
15865,北海道,勇払郡むかわ町,1
16012,北海道,沙流郡日高町,4
16071,北海道,浦河郡浦河町,8
16101,北海道,日高郡新ひだか町,4
16314,北海道,河東郡音更町,5
16373,北海道,河西郡芽室町,5
16616,北海道,釧路郡釧路町,6
16624,北海道,厚岸郡厚岸町,6
16683,北海道,白糠郡白糠町,1
16926,北海道,標津郡中標津町,7
